index,alpha_id,status,queue_status,check_passed,check_note,expression,profile,sharpe,fitness,turnover,returns,drawdown,metric_gate_pass,platform_non_self_pass,self_correlation_status,submission_candidate,platform_pass_evidence,platform_gate_reason,pass_proxy_reason,blocked_reason,simulation_id,failure_reasons
479,QPnQmNdw,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, industry)-0.5)*0.70+(-rank(ts_delta(close, 21)))*0.30",,1.85,1.56,0.0486,0.0889,0.037,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.56/1.0; LOW_TURNOVER:PASS:0.0486/0.01; HIGH_TURNOVER:PASS:0.0486/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.63/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.56 > 1.0; Turnover 4.86% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.63 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
4.86%
Fitness
1.56
Returns
8.89%
Drawdown
3.70%
Margin
0.00‱"
480,akNOXbl6,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, industry)-0.5)*0.70+(-rank(ts_delta(close, 21)))*0.30",,1.85,1.56,0.0531,0.0891,0.0373,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.56/1.0; LOW_TURNOVER:PASS:0.0531/0.01; HIGH_TURNOVER:PASS:0.0531/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.63/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.56 > 1.0; Turnover 5.31% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.63 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
5.31%
Fitness
1.56
Returns
8.91%
Drawdown
3.73%
Margin
0.00‱"
481,QPnQE5oW,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, industry)-0.5)*0.75+(-rank(ts_delta(close, 63)))*0.25",,1.85,1.52,0.0326,0.0841,0.0537,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.52/1.0; LOW_TURNOVER:PASS:0.0326/0.01; HIGH_TURNOVER:PASS:0.0326/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.78/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.52 > 1.0; Turnover 3.26% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.78 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
3.26%
Fitness
1.52
Returns
8.41%
Drawdown
5.37%
Margin
0.01‱"
482,6XzaxGXp,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 126)/cap, subindustry)-0.5)+(-rank(ts_delta(close, 2)))*0.20",,1.85,1.5,0.0981,0.0822,0.0423,True,True,PENDING,True,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.5/1.0; LOW_TURNOVER:PASS:0.0981/0.01; HIGH_TURNOVER:PASS:0.0981/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.45/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.50 > 1.0; Turnover 9.81% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",self_correlation_pending,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.5/1.0; LOW_TURNOVER:PASS:0.0981/0.01; HIGH_TURNOVER:PASS:0.0981/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.45/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
UNSUBMITTED

Aggregate Data:
Sharpe
1.85
Turnover
9.81%
Fitness
1.50
Returns
8.22%
Drawdown
4.23%
Margin
0.00‱"
483,WjNgPVOk,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, industry)-0.5)+(-rank(ts_delta(close, 63)))*0.25",,1.85,1.49,0.0299,0.0809,0.0492,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.49/1.0; LOW_TURNOVER:PASS:0.0299/0.01; HIGH_TURNOVER:PASS:0.0299/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.77/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.49 > 1.0; Turnover 2.99% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.77 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
2.99%
Fitness
1.49
Returns
8.09%
Drawdown
4.92%
Margin
0.01‱"
484,9q9RKONd,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, subindustry)-0.5)*0.70+(-rank(ts_delta(close, 42)))*0.30",,1.85,1.43,0.0527,0.0742,0.0443,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.43/1.0; LOW_TURNOVER:PASS:0.0527/0.01; HIGH_TURNOVER:PASS:0.0527/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.5/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.43 > 1.0; Turnover 5.27% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.50 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
5.27%
Fitness
1.43
Returns
7.42%
Drawdown
4.43%
Margin
0.00‱"
485,VkX8wWeJ,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, subindustry)-0.5)*0.70+(-rank(ts_delta(close, 21)))*0.30",,1.85,1.43,0.0695,0.0744,0.0342,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.43/1.0; LOW_TURNOVER:PASS:0.0695/0.01; HIGH_TURNOVER:PASS:0.0695/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.43/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.43 > 1.0; Turnover 6.95% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.43 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
6.95%
Fitness
1.43
Returns
7.44%
Drawdown
3.42%
Margin
0.00‱"
486,A1n3a65X,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, subindustry)-0.5)*0.70+(-rank(ts_delta(close, 42)))*0.30",,1.85,1.42,0.0404,0.0739,0.0463,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.42/1.0; LOW_TURNOVER:PASS:0.0404/0.01; HIGH_TURNOVER:PASS:0.0404/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.49/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.42 > 1.0; Turnover 4.04% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.49 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
4.04%
Fitness
1.42
Returns
7.39%
Drawdown
4.63%
Margin
0.00‱"
487,zq5WovkR,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, subindustry)-0.5)*0.70+(-rank(ts_delta(close, 42)))*0.30",,1.85,1.42,0.0439,0.0738,0.0454,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.42/1.0; LOW_TURNOVER:PASS:0.0439/0.01; HIGH_TURNOVER:PASS:0.0439/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.48/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.42 > 1.0; Turnover 4.39% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.48 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
4.39%
Fitness
1.42
Returns
7.38%
Drawdown
4.54%
Margin
0.00‱"
488,RRNrrz7e,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"(group_rank(ts_delta(capex_to_total_assets, 252)/cap, subindustry)-0.5)+(-rank(ts_delta(close, 42)))*0.30",,1.85,1.38,0.0496,0.0699,0.0422,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.38/1.0; LOW_TURNOVER:PASS:0.0496/0.01; HIGH_TURNOVER:PASS:0.0496/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.47/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.38 > 1.0; Turnover 4.96% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.47 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
4.96%
Fitness
1.38
Returns
6.99%
Drawdown
4.22%
Margin
0.00‱"
489,pwVWL91j,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"group_rank(ts_delta(fnd6_intc, 63)/cap, subindustry)-0.5",,1.85,1.38,0.0496,0.0692,0.0396,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.38/1.0; LOW_TURNOVER:PASS:0.0496/0.01; HIGH_TURNOVER:PASS:0.0496/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.13/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.38 > 1.0; Turnover 4.96% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.13 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
4.96%
Fitness
1.38
Returns
6.92%
Drawdown
3.96%
Margin
0.00‱"
490,YP28J6Mv,unsubmitted,,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"group_rank(ts_delta(fnd6_fopo, 252)/cap, subindustry)-0.5",,1.85,1.28,0.0271,0.0595,0.0352,True,,PENDING,,,LOW_SHARPE:PASS:1.85/1.25; LOW_FITNESS:PASS:1.28/1.0; LOW_TURNOVER:PASS:0.0271/0.01; HIGH_TURNOVER:PASS:0.0271/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL:0.64/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.85 > 1.25; Fitness 1.28 > 1.0; Turnover 2.71% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=FAIL; SELF_CORRELATION=PENDING",LOW_SUB_UNIVERSE_SHARPE,,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:FAIL; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
Sub-universe Sharpe of 0.64 is below cutoff of 0.80.

Aggregate Data:
Sharpe
1.85
Turnover
2.71%
Fitness
1.28
Returns
5.95%
Drawdown
3.52%
Margin
0.00‱"
491,omKvjK5n,unsubmitted,needs_recheck,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 63)/adv20)",near_pass_variant:d6_market,1.84,1.81,0.1241,0.1207,0.0635,True,True,PENDING,True,,LOW_SHARPE:PASS:1.84/1.25; LOW_FITNESS:PASS:1.81/1.0; LOW_TURNOVER:PASS:0.1241/0.01; HIGH_TURNOVER:PASS:0.1241/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.07/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.84 > 1.25; Fitness 1.81 > 1.0; Turnover 12.41% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",self_correlation_pending,Ryr4v5x751icBKcVCWdT3v,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
LOW_SHARPE:PASS:1.84/1.25; LOW_FITNESS:PASS:1.81/1.0; LOW_TURNOVER:PASS:0.1241/0.01; HIGH_TURNOVER:PASS:0.1241/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.07/0.8; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
UNSUBMITTED

Aggregate Data:
Sharpe
1.84
Turnover
12.41%
Fitness
1.81
Returns
12.07%
Drawdown
6.35%
Margin
0.00‱"
492,kq3mjVlg,unsubmitted,not_queued:incompatible_unit,,LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3)*rank(ts_mean(volume, 63)/(1+adv20))",near_pass_variant:d6_market,1.84,1.81,0.1241,0.1207,0.0635,True,,PENDING,,,LOW_SHARPE:PASS:1.84/1.25; LOW_FITNESS:PASS:1.81/1.0; LOW_TURNOVER:PASS:0.1241/0.01; HIGH_TURNOVER:PASS:0.1241/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.07/0.8; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS,"Sharpe 1.84 > 1.25; Fitness 1.81 > 1.0; Turnover 12.41% within [1%,70%); LOW_SHARPE=PASS; LOW_FITNESS=PASS; LOW_TURNOVER=PASS; HIGH_TURNOVER=PASS; CONCENTRATED_WEIGHT=PASS; LOW_SUB_UNIVERSE_SHARPE=PASS; SELF_CORRELATION=PENDING",self_correlation_pending,15hA2feNG4Nsa3MxpGApubB,"check: LOW_SHARPE:PASS; LOW_FITNESS:PASS; LOW_TURNOVER:PASS; HIGH_TURNOVER:PASS; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
LOW_SHARPE:PASS:1.84/1.25; LOW_FITNESS:PASS:1.81/1.0; LOW_TURNOVER:PASS:0.1241/0.01; HIGH_TURNOVER:PASS:0.1241/0.7; CONCENTRATED_WEIGHT:PASS; LOW_SUB_UNIVERSE_SHARPE:PASS:1.07/0.8; UNITS:WARNING; SELF_CORRELATION:PENDING; MATCHES_COMPETITION:PASS
UNSUBMITTED

Aggregate Data:
Sharpe
1.84
Turnover
12.41%
Fitness
1.81
Returns
12.07%
Drawdown
6.35%
Margin
0.00‱"
